label,l_elbow,r_elbow,l_shoulder,r_shoulder,l_hip,r_hip,l_knee,r_knee
Good Curl,71.35865311048154,39.10039108189813,3.8675473238689713,1.6674649858575106,176.2651159214211,178.11749036279676,179.34457353947437,178.31273239572985
Good Curl,113.33618341422775,39.69310312981279,2.788860524468837,0.5098505701252646,176.17562575104668,177.65132843898525,178.63360617581407,178.45904182242663
Good Curl,88.47764667717219,38.00423147964906,2.700000561120973,1.1719878666269907,176.62415478138485,178.40888189989815,179.90418846973537,177.92435562410674
Good Curl,28.226303360350727,43.26569945120658,0.7369552948078908,0.572633929608318,176.73283938799293,177.6097083239159,178.28324007585044,178.60499478870554
Good Curl,177.06289879063556,44.9414522085091,0.15161642791589175,1.0316453406725608,178.58680480133683,178.89882310782224,179.70437728488295,177.33252891425226
Good Curl,119.40783964968985,49.29653461579623,1.4594646090012784,1.5120324323904568,175.8595505719153,178.2450254276312,178.88440719400612,177.72286989226848
Good Curl,121.16914441791494,59.612615154612264,4.997694843878736,0.7903545612953612,175.3784900632244,177.72355986722062,177.3595786416261,177.18266769130696
Good Curl,105.67114001180617,80.7881346945676,5.388249628668521,0.24686224107274382,174.0876183183223,177.09048130380867,179.77212388240105,178.87840206717908
Good Curl,94.14157346561257,97.54182844657,3.875387394855003,1.12745735914802,174.12529869130347,175.98207963914675,177.19542192962444,178.65847291552262
Good Curl,116.12694017027486,106.18411445587762,3.540117931727693,0.2279750311745186,174.60723918475185,175.75965881717943,177.6739847961302,178.97456893581025
Good Curl,116.17219755420437,117.43021125397948,2.317762573460359,0.674511154024858,175.15645499727043,176.17223804140195,176.86415987173262,179.15616933487456
Good Curl,144.7014393123183,131.07085106904586,0.6167421020906196,1.5739771072684732,175.64485428180944,176.82469435675523,178.71232992974927,178.83366491514528
Good Curl,147.36282129864364,140.48135291760457,2.660811590057243,0.4473827739730349,175.74916577945694,176.07418109353185,176.40912388266926,179.15512409542373
Good Curl,150.18038788447853,144.6932888954839,3.2444538102540674,0.21005704114671744,174.8713821338151,176.0834429925157,178.07257993288584,179.25985000436177
Good Curl,155.88908734301717,150.67757151802343,3.3862930122978097,0.11644008850515496,175.3516144753379,176.3057989781477,178.27019743255283,179.00620905216215
Good Curl,157.6019842218502,155.3154406240192,3.603632041001729,1.235988600126268,175.30078933766833,175.36121190992012,178.24384506842912,179.83628916834
Good Curl,160.18623580402326,160.4372995471163,4.175977866653776,0.42793101959208785,174.82174292961068,174.15109919325883,177.61452262573425,179.74658718964838
Good Curl,164.75646934958394,161.5512515021596,3.6527183372729,1.0498131847529604,175.3851278931019,175.62984411867455,177.6314830600947,179.0553653341272
Good Curl,162.46172606003017,160.692793001901,4.586159259988244,0.3094280163909849,175.2378776113804,174.9474413807709,178.79692981003035,179.88784517764788
Good Curl,154.83843701517907,154.13484519434851,5.737491009026989,2.200431750258591,175.7355909685662,175.1789180085789,177.21296401491549,179.39937637488487
Good Curl,149.63195176696158,147.53375626526557,5.207371499950951,1.541310813167627,175.74007508668652,175.72621818346366,177.5902525368934,179.673714516098
Good Curl,147.68503706073116,144.41351878737234,2.8970656375766075,0.03270208477284578,175.5428875095337,175.82847290979709,178.21803751294797,179.8817298079353
Good Curl,140.94691542281095,135.32276907454983,2.443643872367936,2.402643275951116,175.98731623350693,176.17859314976104,177.07123324473304,179.20098142172503
Good Curl,139.1907569935418,127.42106191658466,3.0226151198631466,0.13501845397306206,174.70631729371962,175.8838385323731,177.78765999661726,179.6396699507067
Good Curl,110.52287414671923,105.56438488733554,3.884902845110077,0.1626535633144104,175.35182737829334,176.0767416656827,177.5198787768635,178.65603204838285
Good Curl,117.67982978944484,94.1610892374588,3.2014918571773077,0.10366742314969932,175.78820446565686,177.7637106430105,175.17131759692856,177.72648376924508
Good Curl,86.40443367281692,86.78015848421812,3.9084268504110704,0.09135572184020115,175.96339670428537,177.551529070529,176.3468982814752,176.66609039645908
Good Curl,93.41194987463732,76.87456659546461,4.7594948534330275,0.7262474721441191,175.93889266723824,177.38170996531383,177.6561341145929,177.73355713175414
